2026-05-07	CARE	Carter Bankshares, Inc.	45	Elizabeth L. Walsh	Director	$120k	5k	$26.20	+
2026-05-07	ARE	Alexandria Real Estate Equities, Inc.	55	Joel S Marcus	Executive Chairman	$183k	4k	$45.99	+
2026-05-07	BCML	BayCom Corp	48	William J Black	Executive Vice Chair	$802k	27k	$30.22	+
2026-05-07	DGICA	Donegal Group, Inc.	60	DONEGAL MUTUAL INSURANCE CO	10% Owner	$140k	9k	$16.50	+
2026-05-07	DGICA	Donegal Group, Inc.	60	DONEGAL MUTUAL INSURANCE CO	10% Owner	$142k	9k	$16.65	+
2026-05-07	GOLD	Gold.com, Inc.	56	Tether Global Investments Fund, S.I.C.A.F., S.A. / TPM, S.A. de C.V. / Giancarlo Devasini	10% Owner	$23.6M	530k	$44.50	+
2026-05-07	ARE	Alexandria Real Estate Equities, Inc.	55	Joel S Marcus	Executive Chairman	$164k	4k	$46.74	+
2026-05-07	GEHC	GE HealthCare Technologies Inc.	69	Lawrence H Culp JR	Director	$5.0M	81k	$61.88	+
2026-05-07	EXE	Expand Energy Corporation	64	Marcel Teunissen	EVP & CFO	$193k	2k	$96.43	+
2026-05-07	OPCH	Option Care Health, Inc.	78	Timothy P Sullivan	Director	$500k	24k	$20.69	+
2026-05-07	SRAD	Sportradar Group AG	66	Koerl Carsten	Chief Executive Officer	$2.1M	158k	$13.49	+
2026-05-07	OGN	Organon & Co.	46	Lynette Holzbaur	SVP and Corporate Controller	$353k	26k	$13.35	+
2026-05-07	BCML	BayCom Corp	48	William J Black	Executive Vice Chair	$196k	7k	$29.99	+
2026-05-07	ANGX	Angel Studios, Inc.	52	Steven I Sarowitz	Director	$983k	322k	$3.06	+
2026-05-06	SRAD	Sportradar Group AG	66	Koerl Carsten	Chief Executive Officer	$2.1M	158k	$13.40	+
2026-05-06	ALKT	Alkami Technology, Inc.	51	GENERAL ATLANTIC GENPAR (BERMUDA), L.P. / GAP (Bermuda) L.P. / GAP Coinvestments CDA, L.P. / Atlantic (Al), L.P. General / General Atlantic (AL) SPV, L.P. / General Atlantic (SPV) GP, LLC / GA AL Holding, L.P. / General Atlantic Partners (Bermuda) IV, L.P	Director, 10% Owner	$8.8M	522k	$16.92	+
2026-05-06	NSP	Insperity, Inc.	54	Paul J Sarvadi	Chairman of the Board & CEO	$1.4M	50k	$29.26	+
2026-05-06	ARE	Alexandria Real Estate Equities, Inc.	55	Joel S Marcus	Executive Chairman	$164k	4k	$42.76	+
2026-05-06	SRAD	Sportradar Group AG	66	Koerl Carsten	Chief Executive Officer	$2.4M	182k	$13.38	+
2026-05-06	BRK.B	Berkshire Hathaway Inc. New	61	Michael J. O'Sullivan	Senior Vice President, General Counsel and Secretary	$226k	483	$467.13	+
